1	0c:d9:c1:d5:01:01	Visteon Corporation	b''
3	a8:96:75:bb:8e:f6	UNKNOWN	b''
3	a8:96:75:bb:8e:f6	UNKNOWN	b''
3	a8:96:75:bb:8e:f6	UNKNOWN	b''
3	b0:e8:92:8d:2b:c9	Seiko Epson Corporation	b'EpsonNet'
4	da:a1:19:17:53:b1	UNKNOWN	b''
4	da:a1:19:17:53:b1	UNKNOWN	b''
5	da:a1:19:04:fe:b2	UNKNOWN	b''
5	ca:e7:9d:b9:24:8b	UNKNOWN	b''
5	e2:80:36:71:f3:bc	UNKNOWN	b''
5	e2:80:36:71:f3:bc	UNKNOWN	b''
5	40:b8:37:57:6c:5d	Sony Mobile Communications AB	b''
5	40:b8:37:57:6c:5d	Sony Mobile Communications AB	b''
5	e2:80:36:71:f3:bc	UNKNOWN	b''
6	26:60:40:6f:e8:cb	UNKNOWN	b''
6	7c:0b:c6:f8:74:d3	Samsung Electronics Co.,Ltd	b''
6	26:60:40:6f:e8:cb	UNKNOWN	b''
6	9c:5c:f9:6c:25:35	Sony Mobile Communications AB	b''
8	44:6e:e5:c7:8e:37	HUAWEI TECHNOLOGIES CO.,LTD	b''
8	f4:f5:24:7f:b1:b5	Motorola Mobility LLC, a Lenovo Company	b''
9	88:79:7e:99:9a:da	Motorola Mobility LLC, a Lenovo Company	b''
9	da:a1:19:2a:36:61	UNKNOWN	b''
9	da:a1:19:2a:36:61	UNKNOWN	b''
9	da:a1:19:2a:36:61	UNKNOWN	b''
9	da:a1:19:2a:36:61	UNKNOWN	b''
10	10:7b:44:70:a5:e1	UNKNOWN	b'Aldana06'
10	10:7b:44:70:a5:e1	UNKNOWN	b'Centro De Eventos'
10	c0:d3:c0:7c:bd:d7	Samsung Electronics Co.,Ltd	b''
11	78:f5:fd:5f:c7:c2	HUAWEI TECHNOLOGIES CO.,LTD	b'City Cra 45'
11	78:f5:fd:5f:c7:c2	HUAWEI TECHNOLOGIES CO.,LTD	b'City Cra 45'
11	54:fc:f0:32:fb:5e	UNKNOWN	b'MOVISTAR WIFI'
11	54:fc:f0:32:fb:5e	UNKNOWN	b'MOVISTAR WIFI'
11	54:fc:f0:32:fb:5e	UNKNOWN	b'MOVISTAR WIFI'
11	54:fc:f0:32:fb:5e	UNKNOWN	b'MOVISTAR WIFI'
13	7c:2e:dd:16:ac:95	UNKNOWN	b'MOVISTAR WIFI'
13	7c:2e:dd:16:ac:95	UNKNOWN	b''
13	50:01:d9:d8:61:4f	HUAWEI TECHNOLOGIES CO.,LTD	b''
13	50:01:d9:d8:61:4f	HUAWEI TECHNOLOGIES CO.,LTD	b''
13	3c:fa:43:3d:ae:6d	HUAWEI TECHNOLOGIES CO.,LTD	b''
14	f4:f5:24:2d:18:6f	Motorola Mobility LLC, a Lenovo Company	b''
14	d0:fc:cc:c5:2f:d5	Samsung Electronics Co.,Ltd	b''
14	d0:fc:cc:c5:2f:d5	Samsung Electronics Co.,Ltd	b''
15	da:a1:19:c5:e2:e2	UNKNOWN	b''
15	da:a1:19:c5:e2:e2	UNKNOWN	b''
15	da:a1:19:c5:e2:e2	UNKNOWN	b''
15	3c:dc:bc:11:93:dc	UNKNOWN	b''
15	8c:79:67:b8:c2:a9	zte corporation	b''
15	40:b8:37:57:6c:5d	Sony Mobile Communications AB	b''
