mac,dep_station,dep_time,time,dep_time_group
b4:74:43:fa:ce:43,heroes,8062,415,7800
e0:c9:7a:66:05:11,heroes,8078,438,7800
bc:ff:eb:bc:a9:2d,heroes,8354,219,8100
48:88:ca:19:25:33,heroes,8382,2908,8100
24:da:9b:79:0f:77,heroes,8418,644,8400
da:a1:19:9a:39:ed,heroes,8472,3007,8400
2c:4d:54:78:eb:5c,heroes,8539,955,8400
7c:2e:dd:7e:62:4c,heroes,8556,552,8400
da:a1:19:7a:19:cd,heroes,8634,2358,8400
a8:a1:98:15:75:dd,heroes,8765,278,8700
38:80:df:86:2e:cb,heroes,8767,258,8700
98:dd:ea:04:6a:e8,heroes,8782,237,8700
a8:a6:68:dc:ed:51,heroes,8820,770,8700
40:45:da:e4:1c:ec,heroes,8822,294,8700
14:9f:3c:09:4d:67,heroes,8830,274,8700
d0:04:01:41:32:d2,heroes,8913,361,8700
f4:cb:52:3a:e4:38,heroes,8915,683,8700
b8:1d:aa:b7:af:3e,heroes,8921,266,8700
da:a1:19:f0:6d:32,heroes,8925,144,8700
2c:59:8a:26:9a:41,heroes,8992,243,8700
14:30:c6:70:6f:e9,heroes,8998,239,8700
80:58:f8:66:f3:6e,heroes,9002,597,9000
da:a1:19:07:4b:36,heroes,9010,333,9000
cc:07:e4:97:0d:ed,heroes,9035,339,9000
80:58:f8:ff:93:68,heroes,9048,1397,9000
ec:10:7b:52:51:8b,heroes,9166,252,9000
d0:04:01:09:e8:d6,heroes,9199,376,9000
bc:25:e0:91:ac:97,heroes,9200,367,9000
f4:f5:24:fe:68:59,heroes,9203,392,9000
a8:96:75:fc:79:84,heroes,9209,378,9000
48:60:5f:23:da:21,heroes,9209,364,9000
d4:63:c6:e2:b8:57,heroes,9210,379,9000
54:fc:f0:29:df:0b,heroes,9226,353,9000
80:58:f8:51:e4:20,heroes,9272,86,9000
80:58:f8:c0:5c:bf,heroes,9746,2931,9600
38:80:df:88:58:1f,heroes,10265,471,10200
58:c9:35:35:02:e3,heroes,10346,622,10200
b8:08:d7:2b:52:ba,heroes,10407,390,10200
84:98:66:00:ea:1d,heroes,10614,182,10500
20:55:31:c5:ad:1b,heroes,10666,340,10500
a8:81:95:ab:7e:12,heroes,10720,372,10500
da:a1:19:e5:4d:38,heroes,10919,541,10800
50:c8:e5:99:61:d5,heroes,10923,307,10800
2c:56:dc:1f:de:04,heroes,10927,280,10800
fc:3f:7c:d0:69:4d,heroes,10928,302,10800
90:94:97:56:7b:7a,heroes,10930,295,10800
00:87:01:7b:ce:4f,heroes,10965,495,10800
38:80:df:91:aa:04,heroes,11002,184,10800
d0:04:01:0b:2a:42,heroes,11011,192,10800
d0:87:e2:c5:2b:15,heroes,11076,1333,10800
d0:13:fd:27:29:12,heroes,11187,659,11100
dc:cf:96:20:3f:65,heroes,11242,175,11100
80:6c:1b:21:53:98,heroes,11290,323,11100
34:14:5f:15:bd:01,heroes,11352,339,11100
a4:ca:a0:74:bd:19,heroes,11431,145,11400
3c:fa:43:3c:b1:05,heroes,11466,155,11400
d8:68:c3:f7:7e:a1,heroes,11480,283,11400
da:a1:19:d5:74:28,heroes,11481,917,11400
9c:2a:83:55:64:42,heroes,11528,453,11400
80:6c:1b:5c:13:eb,heroes,11601,335,11400
e8:91:20:7b:c1:6f,heroes,11606,266,11400
d0:04:01:d8:e3:17,heroes,11611,391,11400
0c:cb:85:d6:d3:70,heroes,11618,244,11400
ec:88:92:1d:17:84,heroes,11631,241,11400
dc:0b:34:c0:7b:6a,heroes,11698,301,11400
b0:e0:3c:e5:86:f8,heroes,11941,230,11700
14:6b:72:ff:4d:9f,heroes,12026,381,12000
da:a1:19:7b:88:3c,heroes,12392,368,12300
44:c3:46:d7:25:61,heroes,12462,294,12300
90:68:c3:1e:bf:50,heroes,12489,276,12300
