dep_station,dep_time
heroes,4073
heroes,4073
heroes,4076
heroes,4076
heroes,4077
heroes,4077
heroes,4078
heroes,4078
heroes,4078
heroes,4079
heroes,4079
heroes,4079
heroes,4079
heroes,4079
heroes,4080
heroes,4080
heroes,4081
heroes,4082
heroes,4082
heroes,4083
heroes,4083
heroes,4084
heroes,4084
heroes,4084
heroes,4085
heroes,4085
heroes,4085
heroes,4086
heroes,4086
heroes,4087
heroes,4088
heroes,4088
heroes,4088
heroes,4089
heroes,4090
heroes,4090
heroes,4090
heroes,4091
heroes,4091
heroes,4091
heroes,4091
heroes,4092
heroes,4092
heroes,4092
heroes,4092
heroes,4093
heroes,4093
heroes,4093
heroes,4093
heroes,4093
heroes,4094
heroes,4094
heroes,4094
heroes,4095
heroes,4096
heroes,4097
heroes,4097
heroes,4097
heroes,4097
heroes,4098
heroes,4099
heroes,4099
heroes,4099
heroes,4100
heroes,4100
heroes,4102
heroes,4102
heroes,4102
heroes,4103
heroes,4104
heroes,4104
heroes,4104
heroes,4105
heroes,4105
heroes,4105
heroes,4105
heroes,4105
heroes,4105
heroes,4106
heroes,4106
heroes,4106
heroes,4107
heroes,4108
heroes,4108
heroes,4108
heroes,4109
heroes,4110
heroes,4110
heroes,4110
heroes,4111
heroes,4111
heroes,4112
heroes,4112
heroes,4112
heroes,4112
heroes,4112
heroes,4114
heroes,4114
heroes,4114
heroes,4114
heroes,4114
heroes,4115
heroes,4115
heroes,4115
heroes,4115
heroes,4115
heroes,4117
heroes,4117
heroes,4117
heroes,4117
heroes,4117
heroes,4118
heroes,4118
heroes,4118
heroes,4119
heroes,4119
heroes,4119
heroes,4119
heroes,4119
heroes,4120
heroes,4120
heroes,4120
heroes,4121
heroes,4121
heroes,4121
heroes,4122
heroes,4122
heroes,4122
heroes,4122
heroes,4122
heroes,4122
heroes,4124
heroes,4124
heroes,4124
heroes,4124
heroes,4124
heroes,4124
heroes,4124
heroes,4125
heroes,4125
heroes,4125
heroes,4126
heroes,4126
heroes,4128
heroes,4128
heroes,4129
heroes,4129
heroes,4129
heroes,4129
heroes,4129
heroes,4129
heroes,4130
heroes,4130
heroes,4132
heroes,4132
heroes,4133
heroes,4134
heroes,4134
heroes,4135
heroes,4135
heroes,4136
heroes,4137
heroes,4138
heroes,4139
heroes,4139
heroes,4140
heroes,4140
heroes,4140
heroes,4140
heroes,4141
heroes,4141
heroes,4142
heroes,4143
heroes,4143
heroes,4144
heroes,4144
heroes,4146
heroes,4146
heroes,4146
heroes,4146
heroes,4146
heroes,4150
heroes,4152
heroes,4152
heroes,4152
heroes,4152
heroes,4152
heroes,4157
heroes,4157
heroes,4157
heroes,4158
heroes,4158
heroes,4159
heroes,4160
heroes,4161
heroes,4162
heroes,4163
heroes,4163
heroes,4165
heroes,4165
heroes,4165
heroes,4167
heroes,4167
heroes,4167
heroes,4167
heroes,4169
heroes,4170
heroes,4171
heroes,4172
heroes,4174
heroes,4174
heroes,4174
heroes,4176
heroes,4177
heroes,4177
heroes,4181
heroes,4181
heroes,4181
heroes,4181
heroes,4181
heroes,4181
heroes,4184
heroes,4185
heroes,4185
heroes,4185
heroes,4185
heroes,4186
heroes,4187
heroes,4188
heroes,4189
heroes,4189
heroes,4190
heroes,4191
heroes,4193
heroes,4193
heroes,4193
heroes,4193
heroes,4195
heroes,4195
heroes,4196
heroes,4196
heroes,4196
heroes,4197
heroes,4199
heroes,4200
heroes,4201
heroes,4202
heroes,4202
heroes,4202
heroes,4203
heroes,4203
heroes,4204
heroes,4204
heroes,4204
heroes,4204
heroes,4204
heroes,4204
heroes,4205
heroes,4205
heroes,4205
heroes,4206
heroes,4206
heroes,4207
heroes,4207
heroes,4207
heroes,4208
heroes,4208
heroes,4208
heroes,4208
heroes,4208
heroes,4209
heroes,4210
heroes,4210
heroes,4211
heroes,4211
heroes,4211
heroes,4212
heroes,4212
heroes,4212
heroes,4212
heroes,4212
heroes,4213
heroes,4213
