dep_station,dep_time
calle100,3944
calle100,3944
calle100,3944
calle100,3944
calle100,3944
calle100,3944
calle100,3944
calle100,3944
calle100,3944
calle100,3944
calle100,3945
calle100,3945
calle100,3945
calle100,3945
calle100,3945
calle100,3945
calle100,3945
calle100,3945
calle100,3945
calle100,3945
calle100,3946
calle100,3946
calle100,3946
calle100,3946
calle100,3946
calle100,3946
calle100,3946
calle100,3946
calle100,3946
calle100,3946
calle100,3947
calle100,3947
calle100,3947
calle100,3947
calle100,3947
calle100,3948
calle100,3948
calle100,3948
calle100,3948
calle100,3948
calle100,3948
calle100,3948
calle100,3949
calle100,3949
calle100,3949
calle100,3949
calle100,3950
calle100,3950
calle100,3951
calle100,3951
calle100,3951
calle100,3951
calle100,3952
calle100,3952
calle100,3953
calle100,3953
calle100,3953
calle100,3953
calle100,3953
calle100,3953
calle100,3954
calle100,3954
calle100,3954
calle100,3955
calle100,3955
calle100,3955
calle100,3955
calle100,3956
calle100,3956
calle100,3956
calle100,3956
calle100,3957
calle100,3957
calle100,3958
calle100,3958
calle100,3958
calle100,3958
calle100,3959
calle100,3959
calle100,3960
calle100,3960
calle100,3960
calle100,3961
calle100,3961
calle100,3961
calle100,3961
calle100,3962
calle100,3962
calle100,3962
calle100,3962
calle100,3962
calle100,3962
calle100,3963
calle100,3963
calle100,3963
calle100,3963
calle100,3963
calle100,3963
calle100,3963
calle100,3963
calle100,3964
calle100,3964
calle100,3964
calle100,3964
calle100,3964
calle100,3965
calle100,3965
calle100,3966
calle100,3966
calle100,3967
calle100,3967
calle100,3967
calle100,3967
calle100,3968
calle100,3968
calle100,3968
calle100,3968
calle100,3969
calle100,3969
calle100,3969
calle100,3969
calle100,3969
calle100,3969
calle100,3970
calle100,3970
calle100,3970
calle100,3971
calle100,3971
calle100,3971
calle100,3972
calle100,3972
calle100,3973
calle100,3973
calle100,3973
calle100,3973
calle100,3974
calle100,3974
calle100,3974
calle100,3974
calle100,3974
calle100,3975
calle100,3975
calle100,3975
calle100,3975
calle100,3976
calle100,3976
calle100,3976
calle100,3976
calle100,3976
calle100,3976
calle100,3977
calle100,3977
calle100,3977
calle100,3977
calle100,3977
calle100,3978
calle100,3978
calle100,3979
calle100,3979
calle100,3979
calle100,3979
calle100,3979
calle100,3980
