1537194151	da:a1:19:13:8e:79	UNKNOWN	b''	-256	2018-09-17 09:22:31.216170
1537194151	8c:f5:a3:83:36:be	SAMSUNG ELECTRO-MECHANICS(THAILAND)	b''	-256	2018-09-17 09:22:31.251566
1537194151	8c:f5:a3:83:36:be	SAMSUNG ELECTRO-MECHANICS(THAILAND)	b''	-256	2018-09-17 09:22:31.296349
1537194151	62:d7:90:ae:ac:fd	UNKNOWN	b''	-256	2018-09-17 09:22:31.306399
1537194151	62:d7:90:ae:ac:fd	UNKNOWN	b''	-256	2018-09-17 09:22:31.343181
1537194151	c2:1b:97:4d:dd:3c	UNKNOWN	b''	-256	2018-09-17 09:22:31.362315
1537194151	c2:1b:97:4d:dd:3c	UNKNOWN	b''	-256	2018-09-17 09:22:31.385410
1537194151	ce:ce:45:6a:f1:45	UNKNOWN	b''	-256	2018-09-17 09:22:31.398810
1537194151	c2:1b:97:4d:dd:3c	UNKNOWN	b''	-256	2018-09-17 09:22:31.408205
1537194151	c2:1b:97:4d:dd:3c	UNKNOWN	b''	-256	2018-09-17 09:22:31.429440
1537194151	ce:ce:45:6a:f1:45	UNKNOWN	b''	-256	2018-09-17 09:22:31.460562
1537194151	7e:6f:1b:e4:28:00	UNKNOWN	b''	-256	2018-09-17 09:22:31.737253
1537194151	16:88:5b:ee:8f:4a	UNKNOWN	b''	-256	2018-09-17 09:22:31.955338
1537194151	16:88:5b:ee:8f:4a	UNKNOWN	b''	-256	2018-09-17 09:22:31.971100
1537194151	16:88:5b:ee:8f:4a	UNKNOWN	b''	-256	2018-09-17 09:22:31.980930
1537194151	16:88:5b:ee:8f:4a	UNKNOWN	b''	-256	2018-09-17 09:22:31.992449
1537194152	da:a1:19:6c:89:8d	UNKNOWN	b''	-256	2018-09-17 09:22:32.221369
1537194152	da:a1:19:6c:89:8d	UNKNOWN	b''	-256	2018-09-17 09:22:32.241089
1537194152	da:a1:19:6c:89:8d	UNKNOWN	b''	-256	2018-09-17 09:22:32.260321
1537194152	da:a1:19:6c:89:8d	UNKNOWN	b''	-256	2018-09-17 09:22:32.285965
1537194152	c2:20:43:49:c6:07	UNKNOWN	b''	-256	2018-09-17 09:22:32.831221
1537194152	c2:20:43:49:c6:07	UNKNOWN	b''	-256	2018-09-17 09:22:32.851442
1537194152	a8:c8:3a:77:30:0c	HUAWEI TECHNOLOGIES CO.,LTD	b''	-256	2018-09-17 09:22:32.956903
1537194152	a8:c8:3a:77:30:0c	HUAWEI TECHNOLOGIES CO.,LTD	b''	-256	2018-09-17 09:22:32.973066
1537194152	a8:c8:3a:77:30:0c	HUAWEI TECHNOLOGIES CO.,LTD	b''	-256	2018-09-17 09:22:32.980263
1537194152	a8:c8:3a:77:30:0c	HUAWEI TECHNOLOGIES CO.,LTD	b''	-256	2018-09-17 09:22:32.989660
1537194152	a8:c8:3a:77:30:0c	HUAWEI TECHNOLOGIES CO.,LTD	b''	-256	2018-09-17 09:22:32.992199
1537194153	a8:c8:3a:77:30:0c	HUAWEI TECHNOLOGIES CO.,LTD	b''	-256	2018-09-17 09:22:33.039692
1537194153	a8:c8:3a:77:30:0c	HUAWEI TECHNOLOGIES CO.,LTD	b''	-256	2018-09-17 09:22:33.047240
1537194153	a8:c8:3a:77:30:0c	HUAWEI TECHNOLOGIES CO.,LTD	b''	-256	2018-09-17 09:22:33.052636
1537194153	a8:c8:3a:77:30:0c	HUAWEI TECHNOLOGIES CO.,LTD	b''	-256	2018-09-17 09:22:33.053509
1537194153	a8:c8:3a:77:30:0c	HUAWEI TECHNOLOGIES CO.,LTD	b''	-256	2018-09-17 09:22:33.056474
1537194153	1c:23:2c:bf:28:01	Samsung Electronics Co.,Ltd	b''	-256	2018-09-17 09:22:33.415043
1537194153	1c:23:2c:bf:28:01	Samsung Electronics Co.,Ltd	b''	-256	2018-09-17 09:22:33.423163
1537194153	1c:23:2c:bf:28:01	Samsung Electronics Co.,Ltd	b''	-256	2018-09-17 09:22:33.475646
1537194153	1c:23:2c:bf:28:01	Samsung Electronics Co.,Ltd	b''	-256	2018-09-17 09:22:33.477192
1537194153	22:23:ec:76:39:d0	UNKNOWN	b''	-256	2018-09-17 09:22:33.635727
1537194153	22:23:ec:76:39:d0	UNKNOWN	b''	-256	2018-09-17 09:22:33.659396
1537194153	22:23:ec:76:39:d0	UNKNOWN	b''	-256	2018-09-17 09:22:33.678354
1537194153	8c:f5:a3:83:36:be	SAMSUNG ELECTRO-MECHANICS(THAILAND)	b''	-256	2018-09-17 09:22:33.762038
1537194153	f6:d7:cf:c6:d7:c1	UNKNOWN	b''	-256	2018-09-17 09:22:33.844297
1537194153	06:b9:6b:95:1d:11	UNKNOWN	b''	-256	2018-09-17 09:22:33.881087
1537194153	06:b9:6b:95:1d:11	UNKNOWN	b''	-256	2018-09-17 09:22:33.901943
1537194153	f0:ee:10:d4:a1:1a	Samsung Electronics Co.,Ltd	b'8'	-256	2018-09-17 09:22:33.973625
1537194153	f0:ee:10:d4:a1:1a	Samsung Electronics Co.,Ltd	b''	-256	2018-09-17 09:22:33.975279
1537194154	f0:ee:10:d4:a1:1a	Samsung Electronics Co.,Ltd	b''	-256	2018-09-17 09:22:34.057427
1537194154	f0:ee:10:d4:a1:1a	Samsung Electronics Co.,Ltd	b'8'	-256	2018-09-17 09:22:34.098137
1537194154	82:78:27:b6:bf:bc	UNKNOWN	b''	-256	2018-09-17 09:22:34.669020
1537194154	82:78:27:b6:bf:bc	UNKNOWN	b''	-256	2018-09-17 09:22:34.689521
1537194154	80:58:f8:cc:51:fe	Motorola Mobility LLC, a Lenovo Company	b''	-256	2018-09-17 09:22:34.827065
1537194155	76:8d:f7:89:d9:95	UNKNOWN	b''	-256	2018-09-17 09:22:35.005757
1537194155	76:8d:f7:89:d9:95	UNKNOWN	b''	-256	2018-09-17 09:22:35.060041
1537194155	f6:d7:cf:c6:d7:c1	UNKNOWN	b''	-256	2018-09-17 09:22:35.511049
1537194155	f6:d7:cf:c6:d7:c1	UNKNOWN	b''	-256	2018-09-17 09:22:35.529678
1537194155	76:ef:e2:79:be:be	UNKNOWN	b''	-256	2018-09-17 09:22:35.578461
1537194155	76:ef:e2:79:be:be	UNKNOWN	b''	-256	2018-09-17 09:22:35.634198
1537194155	06:54:ff:31:eb:4e	UNKNOWN	b''	-256	2018-09-17 09:22:35.685651
1537194155	06:54:ff:31:eb:4e	UNKNOWN	b''	-256	2018-09-17 09:22:35.705382
1537194155	6a:f2:0c:e1:ba:3c	UNKNOWN	b''	-256	2018-09-17 09:22:35.714200
1537194155	6a:f2:0c:e1:ba:3c	UNKNOWN	b''	-256	2018-09-17 09:22:35.730094
1537194155	6a:f2:0c:e1:ba:3c	UNKNOWN	b''	-256	2018-09-17 09:22:35.757378
1537194155	6a:f2:0c:e1:ba:3c	UNKNOWN	b''	-256	2018-09-17 09:22:35.778357
1537194155	02:21:f3:96:20:86	UNKNOWN	b''	-256	2018-09-17 09:22:35.969720
1537194156	02:21:f3:96:20:86	UNKNOWN	b''	-256	2018-09-17 09:22:36.024482
1537194156	62:d7:90:ae:ac:fd	UNKNOWN	b''	-256	2018-09-17 09:22:36.079243
1537194156	00:3d:e8:ab:16:86	UNKNOWN	b''	-256	2018-09-17 09:22:36.486184
1537194156	92:9d:c5:71:46:36	UNKNOWN	b''	-256	2018-09-17 09:22:36.507884
1537194156	1e:a9:0f:22:85:5a	UNKNOWN	b''	-256	2018-09-17 09:22:36.551862
1537194156	1e:a9:0f:22:85:5a	UNKNOWN	b''	-256	2018-09-17 09:22:36.569997
1537194156	00:3d:e8:ab:16:86	UNKNOWN	b''	-256	2018-09-17 09:22:36.574803
1537194156	1e:a9:0f:22:85:5a	UNKNOWN	b''	-256	2018-09-17 09:22:36.590729
1537194156	fe:12:0c:63:e7:f3	UNKNOWN	b''	-256	2018-09-17 09:22:36.612839
1537194156	fe:12:0c:63:e7:f3	UNKNOWN	b''	-256	2018-09-17 09:22:36.630431
1537194156	d6:d6:17:a3:99:6a	UNKNOWN	b''	-256	2018-09-17 09:22:36.895131
1537194156	d6:d6:17:a3:99:6a	UNKNOWN	b''	-256	2018-09-17 09:22:36.917503
1537194156	d6:d6:17:a3:99:6a	UNKNOWN	b''	-256	2018-09-17 09:22:36.936470
1537194156	d6:d6:17:a3:99:6a	UNKNOWN	b''	-256	2018-09-17 09:22:36.958833
1537194157	ce:ee:05:ee:49:b7	UNKNOWN	b''	-256	2018-09-17 09:22:37.385928
1537194157	ce:ee:05:ee:49:b7	UNKNOWN	b''	-256	2018-09-17 09:22:37.401606
1537194157	a4:07:b6:2f:fd:02	UNKNOWN	b''	-256	2018-09-17 09:22:37.648158
1537194157	a4:07:b6:2f:fd:02	UNKNOWN	b''	-256	2018-09-17 09:22:37.761927
1537194158	8c:79:67:db:e7:af	zte corporation	b''	-256	2018-09-17 09:22:38.078731
1537194158	8c:79:67:db:e7:af	zte corporation	b''	-256	2018-09-17 09:22:38.142595
1537194158	66:c8:c5:5f:fa:85	UNKNOWN	b''	-256	2018-09-17 09:22:38.300451
1537194158	66:c8:c5:5f:fa:85	UNKNOWN	b''	-256	2018-09-17 09:22:38.317781
1537194158	42:4d:a2:8e:35:cf	UNKNOWN	b''	-256	2018-09-17 09:22:38.528762
1537194158	42:4d:a2:8e:35:cf	UNKNOWN	b''	-256	2018-09-17 09:22:38.587136
1537194158	02:39:ab:89:a7:83	UNKNOWN	b''	-256	2018-09-17 09:22:38.617281
1537194158	42:4d:a2:8e:35:cf	UNKNOWN	b''	-256	2018-09-17 09:22:38.699226
1537194158	8e:bf:03:ff:cf:f2	UNKNOWN	b''	-256	2018-09-17 09:22:38.773679
1537194158	76:8d:f7:89:d9:95	UNKNOWN	b''	-256	2018-09-17 09:22:38.923272
1537194158	76:8d:f7:89:d9:95	UNKNOWN	b''	-256	2018-09-17 09:22:38.965484
1537194159	6a:39:4d:7e:76:26	UNKNOWN	b''	-256	2018-09-17 09:22:39.822562
1537194159	6a:39:4d:7e:76:26	UNKNOWN	b''	-256	2018-09-17 09:22:39.842960
1537194159	ee:79:1c:39:25:d7	UNKNOWN	b''	-256	2018-09-17 09:22:39.989297
1537194160	ee:79:1c:39:25:d7	UNKNOWN	b''	-256	2018-09-17 09:22:40.009841
1537194160	ee:79:1c:39:25:d7	UNKNOWN	b''	-256	2018-09-17 09:22:40.031367
1537194160	e8:8d:28:0d:7e:50	Apple, Inc.	b''	-256	2018-09-17 09:22:40.056691
1537194160	e8:8d:28:0d:7e:50	Apple, Inc.	b''	-256	2018-09-17 09:22:40.076414
1537194160	2e:a6:7d:78:39:b6	UNKNOWN	b''	-256	2018-09-17 09:22:40.128239
1537194160	2e:a6:7d:78:39:b6	UNKNOWN	b''	-256	2018-09-17 09:22:40.147623
1537194160	ea:56:53:9e:a2:df	UNKNOWN	b''	-256	2018-09-17 09:22:40.867537
1537194160	ea:56:53:9e:a2:df	UNKNOWN	b''	-256	2018-09-17 09:22:40.885651
1537194161	ba:41:68:cc:d0:9b	UNKNOWN	b''	-256	2018-09-17 09:22:41.676600
1537194161	ba:41:68:cc:d0:9b	UNKNOWN	b''	-256	2018-09-17 09:22:41.732473
1537194161	ba:41:68:cc:d0:9b	UNKNOWN	b''	-256	2018-09-17 09:22:41.792504
1537194161	9a:6c:b1:9f:f9:82	UNKNOWN	b''	-256	2018-09-17 09:22:41.840184
1537194161	7a:2d:26:9d:c5:e4	UNKNOWN	b''	-256	2018-09-17 09:22:41.856952
1537194161	9a:6c:b1:9f:f9:82	UNKNOWN	b''	-256	2018-09-17 09:22:41.869513
1537194161	7a:2d:26:9d:c5:e4	UNKNOWN	b''	-256	2018-09-17 09:22:41.876888
1537194161	00:3d:e8:ab:16:86	UNKNOWN	b''	-256	2018-09-17 09:22:41.924936
1537194161	00:3d:e8:ab:16:86	UNKNOWN	b''	-256	2018-09-17 09:22:41.927067
1537194161	f0:d7:aa:d5:80:da	Motorola Mobility LLC, a Lenovo Company	b''	-256	2018-09-17 09:22:41.995159
1537194162	f0:d7:aa:d5:80:da	Motorola Mobility LLC, a Lenovo Company	b''	-256	2018-09-17 09:22:42.005734
1537194162	00:3d:e8:ab:16:86	UNKNOWN	b''	-256	2018-09-17 09:22:42.012757
1537194162	f0:d7:aa:d5:80:da	Motorola Mobility LLC, a Lenovo Company	b''	-256	2018-09-17 09:22:42.019572
1537194162	f0:d7:aa:d5:80:da	Motorola Mobility LLC, a Lenovo Company	b''	-256	2018-09-17 09:22:42.025154
1537194162	f0:d7:aa:d5:80:da	Motorola Mobility LLC, a Lenovo Company	b''	-256	2018-09-17 09:22:42.037737
1537194162	f0:d7:aa:d5:80:da	Motorola Mobility LLC, a Lenovo Company	b''	-256	2018-09-17 09:22:42.066972
1537194162	88:b4:a6:08:e2:fe	UNKNOWN	b''	-256	2018-09-17 09:22:42.071487
1537194162	88:b4:a6:08:e2:fe	UNKNOWN	b''	-256	2018-09-17 09:22:42.096184
1537194162	88:b4:a6:08:e2:fe	UNKNOWN	b''	-256	2018-09-17 09:22:42.105572
1537194162	88:b4:a6:08:e2:fe	UNKNOWN	b''	-256	2018-09-17 09:22:42.136924
1537194162	88:b4:a6:08:e2:fe	UNKNOWN	b''	-256	2018-09-17 09:22:42.147644
1537194162	88:b4:a6:08:e2:fe	UNKNOWN	b''	-256	2018-09-17 09:22:42.157438
1537194162	da:a1:19:54:85:70	UNKNOWN	b''	-256	2018-09-17 09:22:42.180354
1537194162	da:a1:19:54:85:70	UNKNOWN	b''	-256	2018-09-17 09:22:42.199280
1537194162	da:a1:19:70:c5:79	UNKNOWN	b''	-256	2018-09-17 09:22:42.255398
1537194162	1c:23:2c:bf:28:01	Samsung Electronics Co.,Ltd	b''	-256	2018-09-17 09:22:42.271452
1537194162	1c:23:2c:bf:28:01	Samsung Electronics Co.,Ltd	b''	-256	2018-09-17 09:22:42.276535
1537194162	1c:23:2c:bf:28:01	Samsung Electronics Co.,Ltd	b''	-256	2018-09-17 09:22:42.356057
1537194162	1c:23:2c:bf:28:01	Samsung Electronics Co.,Ltd	b''	-256	2018-09-17 09:22:42.360646
1537194162	da:a1:19:69:2e:e2	UNKNOWN	b''	-256	2018-09-17 09:22:42.481680
1537194162	76:8d:f7:89:d9:95	UNKNOWN	b''	-256	2018-09-17 09:22:42.846559
1537194163	82:5d:f6:b3:1d:7f	UNKNOWN	b''	-256	2018-09-17 09:22:43.550811
1537194163	82:5d:f6:b3:1d:7f	UNKNOWN	b''	-256	2018-09-17 09:22:43.561119
1537194163	82:5d:f6:b3:1d:7f	UNKNOWN	b''	-256	2018-09-17 09:22:43.586571
1537194163	46:01:88:22:71:38	UNKNOWN	b''	-256	2018-09-17 09:22:43.594705
