Timestamp,DeviceID,ReceiverID,RSSI,Event
03:26:22.649,793a242c34c5,001bc5094bf79c86,170,appearance
03:26:22.669,78bdbcd66f74,001bc5094bf79c86,163,appearance
03:26:22.725,1c1ac0871034,001bc5094bf79c86,168,appearance
03:26:22.754,1c1ac0ac354a,001bc5094bf79c86,188,appearance
03:26:22.777,d0034be7f942,001bc5094bf79c86,164,appearance
03:26:23.104,f877b8106fc3,001bc5094bf79c86,165,appearance
03:26:23.162,d0034b3436f5,001bc5094bf79c86,167,appearance
03:26:23.425,b03495406193,001bc5094bf79c86,171,appearance
03:26:23.612,1c1ac0913c30,001bc5094bf79c86,174,appearance
03:26:25.156,17a4c80093a0,001bc5094bf79c86,166,appearance
03:26:24.376,616d5166dfb9,001bc5094bf79c86,164,appearance
03:26:24.702,76ee02eb207e,001bc5094bf79c86,159,appearance
03:26:24.703,400cedeb051b,001bc5094bf79c86,159,appearance
03:26:25.170,2bb9afabd3d9,001bc5094bf79c86,172,appearance
03:26:25.436,2c41a1241403,001bc5094bf79c86,157,appearance
03:26:26.451,74383ab8e119,001bc5094bf79c86,154,appearance
03:26:26.186,793a242c34c5,001bc5094bf79c86,163,keep-alive
03:26:28.414,1c1ac0871034,001bc5094bf79c86,175,keep-alive
03:26:28.077,1c1ac0ac354a,001bc5094bf79c86,186,keep-alive
03:26:28.291,d0034be7f942,001bc5094bf79c86,168,keep-alive
03:26:28.831,d0034b3436f5,001bc5094bf79c86,160,keep-alive
03:26:29.344,78bdbcd66f74,001bc5094bf79c86,163,keep-alive
03:26:29.068,f877b8106fc3,001bc5094bf79c86,164,keep-alive
03:26:30.079,616d5166dfb9,001bc5094bf79c86,171,keep-alive
03:26:28.737,b03495406193,001bc5094bf79c86,163,keep-alive
03:26:30.403,1c1ac0913c30,001bc5094bf79c86,170,keep-alive
03:26:30.650,17a4c80093a0,001bc5094bf79c86,161,keep-alive
03:26:29.863,76ee02eb207e,001bc5094bf79c86,170,keep-alive
03:26:27.826,400cedeb051b,001bc5094bf79c86,169,keep-alive
03:26:31.393,2bb9afabd3d9,001bc5094bf79c86,161,keep-alive
03:26:32.046,2c41a1241403,001bc5094bf79c86,168,keep-alive
03:26:30.650,17a4c80093a0,001bc5094bf79c86,161,disappearance
03:26:29.068,f877b8106fc3,001bc5094bf79c86,164,disappearance
03:26:28.831,d0034b3436f5,001bc5094bf79c86,160,disappearance
03:26:31.393,2bb9afabd3d9,001bc5094bf79c86,161,disappearance
03:26:30.079,616d5166dfb9,001bc5094bf79c86,171,disappearance
03:26:28.737,b03495406193,001bc5094bf79c86,163,disappearance
03:26:32.046,2c41a1241403,001bc5094bf79c86,168,disappearance
03:26:26.451,74383ab8e119,001bc5094bf79c86,154,disappearance
03:26:30.403,1c1ac0913c30,001bc5094bf79c86,170,disappearance
03:26:26.186,793a242c34c5,001bc5094bf79c86,163,disappearance
03:26:29.344,78bdbcd66f74,001bc5094bf79c86,163,disappearance
03:26:29.863,76ee02eb207e,001bc5094bf79c86,170,disappearance
03:26:27.826,400cedeb051b,001bc5094bf79c86,169,disappearance
03:26:28.414,1c1ac0871034,001bc5094bf79c86,175,disappearance
03:26:28.077,1c1ac0ac354a,001bc5094bf79c86,186,disappearance
